fips,walkability_score
13139,6.229
13141,3.532
13143,5.565
13145,4.395
13147,4.964
13149,3.55
13151,6.64
13153,6.862
13155,4.78
13157,5.606
13159,4.178
13161,4.788
13163,5.43
13165,3.676
13167,4.231
13169,4.587
13171,5.117
13173,4.512
13175,5.706
13177,5.307
13179,5.611
13181,4.202
13183,2.915
13185,6.795
13187,5.428
13189,5.3
13191,4.905
13193,4.507
13195,5.152
13197,4.045
13199,4.849
13201,5.214
13205,5.261
13207,5.121
13209,5.472
13211,5.411
13213,4.257
13215,7.229
13217,5.867
13219,6.689
13221,4.113
13223,6.145
13225,6.025
13227,5.736
13229,5.212
13231,5.073
13233,5.604
13235,5.952
13237,5.322
13239,4.828
13241,6.47
13243,5.171
13245,6.875
13247,5.931
13249,4.401
13251,4.967
13253,4.497
13255,6.323
13257,6.293
13259,4.022
13261,6.397
13263,3.237
13265,2.861
13267,4.406
13269,4.668
13271,5.729
13273,5.591
13275,5.708
13277,7.017
13279,5.698
13281,6.084
13283,4.375
13285,6.179
13287,5.211
13289,4.066
13291,5.621
13293,5.227
13295,5.208
13297,5.946
13299,6.62
13301,4.383
13303,5.112
13305,5.287
13307,3.695
13309,3.881
13311,6.15
13313,5.909
13315,4.317
13317,4.776
13319,4.486
13321,4.647
15001,5.459
15003,12.241
15005,4.833
15007,6.472
15009,6.913
16001,10.748
16003,5.655
16005,7.379
16007,5.576
16009,5.854
16011,5.786
16013,10.055
16015,5.306
16017,5.99
16019,7.717
16021,5.525
16023,5.554
16025,5.833
16027,9.208
16029,4.656
16031,6.549
16033,6.167
16035,5.016
16037,6.246
16039,7.046
16041,5.828
16043,5.925
16045,6.865
16047,6.677
16049,4.756
16051,4.787
16053,6.416
16055,7.957
16057,6.395
16059,5.547
16061,6.671
16063,4.775
16065,7.596
16067,6.264
16069,7.38
16071,6.288
16073,5.641
16075,7.249
16077,6.73
16079,5.334
16081,6.964
16083,7.779
16085,6.161
16087,6.517
17001,7.152
17003,5.758
17005,5.723
17007,6.297
17009,6.387
17011,5.867
17013,4.674
17015,6.249
17017,7.466
17019,11.517
17021,6.257
17023,5.518
17025,5.765
17027,6.591
17029,6.964
17031,13.582
17033,6.178
17035,4.892
17037,6.994
17039,6.192
17041,6.107
17043,10.583
17045,5.974
17047,4.712
17049,6.623
17051,5.224
17053,6.566
17055,6.079
17057,5.893
17059,4.461
17061,5.193
17063,6.659
17065,5.366
17067,5.71
17069,4.311
17071,4.918
17073,6.025
17075,5.877
17077,6.545
17079,5.039
17081,5.558
17083,4.988
17085,6.234
17087,3.88
17089,10.131
17091,6.907
17093,7.04
17095,6.698
17097,10.036
17099,6.873
17101,5.992
17103,6.258
17105,6.415
17107,6.695
17109,5.573
17111,8.299
17113,10.5
17115,6.924
17117,6.512
17119,7.099
17121,6.242
17123,5.844
17125,5.552
